emptyDate,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-08-01,Clementine,Produce,,,3.98,Food Basics,680.72,333.28
2025-08-01,Banana,Produce,,,1.55,Food Basics,,
2025-08-01,Avocado,Produce,,,5.96,Food Basics,,
2025-08-01,Sweet Potato,Produce,,,9.77,Food Basics,,
2025-08-01,Chocolate Digestive,Snacks,,,3.49,Loblaws,,
2025-08-01,Digestive,Snacks,,,2.99,Loblaws,,
2025-08-01,Milk,Dairy,,,7.68,Loblaws,,
2025-08-01,BBQ Chicken,Hot Foods,,,13,Loblaws,,
2025-08-01,HST,Tax,,,1.69,Loblaws,,
2025-08-01,"Costco Bulk Buy (Cereals , Olive Oil, Dish Soap)",Groceries,,,112.87,Costco,,
2025-08-01,Purple Onion 10LB,Produce,,,10.99,Ton Tai,,
2025-08-01,Fresh Chicken Quarter Leg,Meat,,,7.38,Ton Tai,,
2025-08-01,Fresh Chicken Quarter Leg,Meat,,,10.09,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.49,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.59,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.79,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.96,Ton Tai,,
2025-08-01,Fresh Chicken Drumstick,Meat,,,4.55,Ton Tai,,
2025-08-01,Great Lake Mackerel,Meat,,,8.43,Ton Tai,,
2025-08-01,Haden Mango (3 for $4.98),Produce,,,9.96,Ton Tai,,
2025-08-01,Goat Meat,Meat,,,28.97,Ton Tai,,
2025-08-02,Cedar Sardine,Groceries,5,1.99,9.95,Food Basics,,
2025-08-02,Goldseal Sardine,Groceries,5,1.49,7.45,Food Basics,,
2025-08-02,Timhortens Hot Chocolate,Beverages,,,7.49,Food Basics,,
2025-08-02,Marshalow Hot Chocolate,Beverages,,,6.99,Food Basics,,
2025-08-02,Pepsi,Groceries,,,1.99,Food Basics,,
2025-08-02,Fanta Pineapple,Groceries,,,1.99,Food Basics,,
2025-08-02,IceCream,Dairy,,,4.88,Food Basics,,
2025-08-02,HST,Tax,,,1.08,Food Basics,,
