Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-01-03,SEALED HOMO MK,Groceries,1,7.08,7.08,Walmart,,-8.71
2025-01-03,WH BREAD,Groceries,2,2.97,5.94,Walmart,,
2025-01-03,OASIS MANGO,Juice,2,4.48,8.96,Walmart,,
2025-01-03,CHRE CHIPS AHOY,Snacks,1,3.99,3.99,Walmart,,
2025-01-03,DIGESTIVES CKIE,Snacks,2,1.99,3.98,No Frills,,
2025-01-03,MEGA SRDN TM SCE,Groceries,2,1,2,No Frills,,
2025-01-03,FM MANDARINS 2LB,Fruits & Vegetables,1,4.88,4.88,No Frills,,
2025-01-04,Round Marinating Steak,Meat,,,7.61,Loblaws,,
2025-01-04,Chicken Wiener,Meat,,,3.99,Loblaws,,
2025-01-04,Noodles,Groceries,,,3,Loblaws,,
2025-01-04,Seedless Grapes,Fruits & Vegetables,,,7.06,Loblaws,,
2025-01-04,Mini Carrot,Fruits & Vegetables,,,4,Loblaws,,
2025-01-04,Evaporated Milk,Groceries,,,2.99,Loblaws,,
2025-01-05,Fresh Chicken Quarter Leg,Meat,,1.58,5.26,Ton Tai,,
2025-01-05,Fresh Chicken Quarter Leg,Meat,,1.58,6.45,Ton Tai,,
2025-01-05,Fresh Chicken Drumstick,Meat,,1.28,3.21,Ton Tai,,
2025-01-05,Fresh Chicken Drumstick,Meat,,1.28,3.89,Ton Tai,,
2025-01-05,Fresh Chicken Drumstick,Meat,,1.28,3.65,Ton Tai,,
2025-01-05,Fresh Chicken Drumstick,Meat,,1.28,3.61,Ton Tai,,
2025-01-05,Fresh Chicken Drumstick,Meat,,1.28,3.28,Ton Tai,,
2025-01-05,Goat Meat,Meat,,,24.18,Ton Tai,,
2025-01-05,Great Lake Mackerel,Frozen Fish,,,7.25,Ton Tai,,
2025-01-05,Halls Cough Tablets 9ps,Groceries,1,,1.59,Ton Tai,,
2025-01-05,BABY ULT.VATE WE (2 @ $1.99),Groceries,2,,3.98,Food Basics,,
2025-01-05,Tissue,Toiletries,1,,7.49,Food Basics,,
2025-01-05,SELECTION 30CM Parchment Paper,Groceries,1,,9.99,Food Basics,,
2025-01-05,CEDAR RICE,Groceries,1,,12.98,Food Basics,,
2025-01-05,HST,Tax,,,2.79,Food Basics,,
2025-01-05,Cottonelle Flushable Wipes,Toiletries,672,,56.48,Amazon,,
2025-01-06,Ann,,,,32.71,Food Basics,,
2025-01-06,Paper Towel,Groceries,,,12.33,Canadian Tire,Redeemed Points,
2025-01-07,HOMO 4LI,Dairy,1,,7.09,Loblaws,,
2025-01-07,SPINACH BUNCHED,Fruits & Vegetables,1,,2.49,Loblaws,,
2025-01-07,RUDOLPH'S BREAD,Groceries,1,,3.99,Loblaws,,
2025-01-07,WOND BREAD WHT,Groceries,1,,7,Loblaws,,
2025-01-07,RCLA BG HNY LM E,Medicine,1,,3.99,Loblaws,,
2025-01-07,MOTR CHLD SUS GR,Medicine,1,,10.99,Loblaws,,
2025-01-07,LIP BALM TRIO,Cosmetics,1,,5.98,Loblaws,,
2025-01-07,FACE PRIMER,Cosmetics,1,,9.99,Loblaws,,
2025-01-07,HST,Tax,,,4.02,Loblaws,,
2025-01-08,Ann,,,,14.92,Food Basics,,
2025-01-08,Vitamin C,Medicine,,,19.83,Amazon,,
2025-01-09,Coke Bottle,Groceries,,,2.79,Food Basics,,
2025-01-09,Frozen Food Selection Mix,Groceries,,,2.57,Food Basics,,
2025-01-09,Activia Vanilla,Dairy,,,4.99,Food Basics,,
2025-01-10,Whole Bread,Groceries,,3.27,3.27,Walmart,,
