Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-06-01,DAD CHOC.CHIP OA,Snacks,2,,6,Food Basics,1104.37,-100.83
2025-06-01,OASIS JUICE PURE,Juice,2,,9.18,Food Basics,,
2025-06-01,CLEMENTINES,Produce,,,2.98,Food Basics,,
2025-06-01,AVOCADO BAG,Produce,,,4.88,Food Basics,,
2025-06-01,TOM.RED HOTHOUSE,Produce,,,4.36,Food Basics,,
2025-06-01,IRRS.SL.BRIOCHE,Bakery,,,4.99,Food Basics,,
2025-06-01,Sprite,Groceries,,,3.99,Loblaws,,
2025-06-01,Digestives Cookie,Snacks,,,2.99,Loblaws,,
2025-06-01,Vitmalt Classic Bottle,Snacks,3,,4.47,Loblaws,,
2025-06-01,PCO CRT BBY 454G,Produce,,,4,Loblaws,,
2025-06-01,Banana,Produce,,,2.88,Loblaws,,
2025-06-01,SH LIL BG Bread,Bakery,,,5.29,Loblaws,,
2025-06-01,RCLA STK or HERB,Medicine,3,,3.6,Loblaws,,
2025-06-01,ROB CH CLD BED,Medicine,,,10.99,Loblaws,,
2025-06-01,Sambucol Day/Night,Medicine,,,17.99,Loblaws,,
2025-06-01,HST,Tax,,,5.34,Loblaws,,
2025-06-01,Eggs,Poultry,,,7.09,Loblaws,,
2025-06-01,Milk,Dairy,,,7.25,Loblaws,,
2025-06-01,Mentos Fruit,Groceries,,,3,Loblaws,,
2025-06-01,Danone Act Vanilla,Dairy,,,5.99,Loblaws,,
2025-06-01,Danone Act Van,Dairy,,,4.29,Loblaws,,
2025-06-01,PC Orri Mand 2lb,Fruits & Vegetables,,,7.49,Loblaws,,
2025-06-01,Grape Red Sdl Cs,Fruits & Vegetables,,,8.49,Loblaws,,
2025-06-01,Wonder Bread Wht,Bakery,,,3.99,Loblaws,,
2025-06-01,HST,Tax,,,0.39,Loblaws,,
2025-06-01,WH BREAD,Bakery,,,3.27,Walmart,,
2025-06-01,OASIS 8X200,Juice,,,3.47,Walmart,,
2025-06-01,OASIS 8X200,Juice,,,3.47,Walmart,,
2025-06-01,RAISIN BRAN,Cereal,,,9.47,Walmart,,
2025-06-01,MOLDIMILDEW,Toiletries,,,4.77,Walmart,,
2025-06-01,DADS OAT CC,Snacks,,,4.28,Walmart,,
2025-06-01,DADS OAT CC,Snacks,,,4.28,Walmart,,
2025-06-01,PF-DADS 2FOR$7,Discount,,,-1.56,Walmart,,
2025-06-01,HNC 430G,Cereal,,,3.97,Walmart,,
2025-06-01,HNC 430G,Cereal,,,3.97,Walmart,,
2025-06-01,HNC 430G,Cereal,,,3.97,Walmart,,
2025-06-01,RETAILCLEAR3FOR3,Discount,,,-1.91,Walmart,,
2025-06-01,HST,Tax,,,0.62,Walmart,,
2025-06-01,Rewards,Discount,,,-5,Walmart,,
2025-06-01,PALLY BISCUITS,Snacks,,3.27,6.54,No Frills,,
2025-06-01,FM MANDARINS 2LB,Snacks,,2.88,2.88,No Frills,,
2025-06-01,CARROT BBY 2LB,Produce,,5.99,5.99,No Frills,,
