Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-03-01,BBQ JMB CHIC,Hot Foods,,,12.97,Walmart,1021.06,145.99
2025-03-01,OASIS PEACH,Juice,,,4.64,Walmart,,
2025-03-01,OASIS PEACH,Juice,,,4.64,Walmart,,
2025-03-01,TAL 2PK,Groceries,,,6.77,Walmart,,
2025-03-01,TH HOT CHOC,Beverages,,,11.97,Walmart,,
2025-03-01,WH BREAD,Bakery,,,3.27,Walmart,,
2025-03-01,GV MX VEG FS,Fruits & Vegetables,,,5.98,Walmart,,
2025-03-01,CLEMENTINES,Fruits & Vegetables,,,6.97,Walmart,,
2025-03-01,IND NDL SPK,Groceries,,,3.77,Walmart,,
2025-03-01,HST,Tax,,,2.57,Walmart,,
2025-03-01,Rewards,,,,-5,Walmart,,
2025-03-01,Ann,,,,9.89,Dollarama,,
2025-03-02,D.M.D Bridge Roasted Pean,Nuts,,,2.99,Ton Tai,,
2025-03-02,Stew Pork,Meat,,,5.73,Ton Tai,,
2025-03-02,Fresh Chicken Quarter Leg,Meat,,,5.44,Ton Tai,,
2025-03-02,Fresh Chicken Quarter Leg,Meat,,,4.76,Ton Tai,,
2025-03-02,Fresh Chicken Drumstick,Meat,,,5.7,Ton Tai,,
2025-03-02,Fresh Chicken Drumstick,Meat,,,4.75,Ton Tai,,
2025-03-02,Fresh Chicken Drumstick,Meat,,,5.53,Ton Tai,,
2025-03-02,Fresh Chicken Drumstick,Meat,,,5.16,Ton Tai,,
2025-03-02,Fresh Chicken Drumstick,Meat,,,3.72,Ton Tai,,
2025-03-02,Goat Meat,Meat,,,29.45,Ton Tai,,
2025-03-02,HST,Tax,,,0.39,Ton Tai,,
2025-03-02,Five Roses Flour,Groceries,,,6.29,Food Basics,,
2025-03-02,Drepe Mini SF DR,Beverages,,,3.49,Food Basics,,
2025-03-02,Cedar Sardine (5),Groceries,,,7.45,Food Basics,,
2025-03-02,Cedar Rice,Groceries,,,13.99,Food Basics,,
2025-03-02,Premium Banana,Fruits & Vegetables,,,1.46,Food Basics,,
2025-03-02,HST,Tax,,,0.45,Food Basics,,
2025-03-03,Digestives Cookie,Snacks,,,2.99,Loblaws,,
2025-03-03,PC CRT BBY 454G,Produce,,,4,Loblaws,,
2025-03-03,FM Butter Croissant,Bakery,,,5,Loblaws,,
2025-03-03,Wonder Bread White ,Bakery,2,,7,Loblaws,,
2025-03-03,NCHL Orig Herbs,Medicine,,,3.99,Loblaws,,
2025-03-03,Benylin DMD,Medicine,,,11.49,Loblaws,,
2025-03-03,Always Protege XL,Groceries,,,5.99,Loblaws,,
2025-03-03,HST,Tax,,,2.01,Loblaws,,
2025-03-04,Activia Vanilla,Groceries,,,4.99,Food Basics,,
2025-03-04,Selection Large,Groceries,,,9.45,Food Basics,,
2025-03-04,Artisan Blueberry,Snacks,,,4.99,Food Basics,,
2025-03-04,HST,Tax,,,0.78,Food Basics,,
2025-03-05,Milk,Dairy,,,7.25,Loblaws,,
2025-03-07,Nestle Drink Mix,Beverages,,,4.99,Food Basics,,
2025-03-07,Primo Penne Lisc,Groceries,,,2.49,Food Basics,,
2025-03-07,Unico Italian HE (4x),Groceries,,,3.96,Food Basics,,
2025-03-07,Avocado Bag,Produce,,,4.98,Food Basics,,
2025-03-07,Premium Banana,Produce,,,1.6,Food Basics,,
2025-03-07,Red Grapes Seedless,Produce,,,1.99,Food Basics,,
2025-03-07,Green Cabbage,Produce,,,4.08,Food Basics,,
2025-03-07,Cedar Frozen Vegetables 750g,Fruits & Vegetables,,,2.49,Food Basics,,
2025-03-07,BBQ Halal Chicken,Hot Foods,,,9.97,Food Basics,,
2025-03-07,Micro Croissant,Bakery,,,4.99,Food Basics,,
2025-03-07,HST,Tax,,,1.3,Food Basics,,
2025-03-09,Goldseal Soya Oil,Groceries,,8,11.92,Food Basics,,
2025-03-09,Pepsi Bottle,Beverages,,,2.99,Food Basics,,
2025-03-09,Clementines,Produce,,,3.98,Food Basics,,
2025-03-09,Pineapple Gold,Produce,,,3.98,Food Basics,,
2025-03-09,Eggs,Groceries,,,9.45,Food Basics,,
2025-03-09,HST,Tax,,,0.39,Food Basics,,
2025-03-09,Cottonelle Flushable Wipes,Toiletries,,,45.14,Amazon,,
2025-03-10,Coca-Cola,Groceries,,,3.99,Loblaws,,
2025-03-10,PC LDS CH CP DG,Dairy,,,7.5,Loblaws,,
2025-03-10,Wonder Bread VHT,Bakery,,,3.99,Loblaws,,
2025-03-10,HST,Tax,,,0.52,Loblaws,,
2025-03-12,Milk,Dairy,,,7.68,Loblaws,,
2025-03-12,Cepanol,Medicine,,,5.99,Loblaws,,
