Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-05-01,Egg ,Poultry,,,10.27,Loblaws,1034.42,3.54
2025-05-01,Sandwich,Hot Foods,,,16,Loblaws,,
2025-05-01,Chicken,Hot Foods,,,16,Loblaws,,
2025-05-01,HST,Tax,,,2.08,Loblaws,,
2025-05-01,Cottonelle Flushable Wipes,Toiletries,,,45.14,Amazon,,
2025-05-01,Indomie Noodles,Groceries,,,3.99,Loblaws,,
2025-05-01,Digestives Cookies,Snacks,,,2.99,Loblaws,,
2025-05-01,Trutaste Homo Milk,Dairy,,,7.68,Loblaws,,
2025-05-01,Mandarins (2 lb),Produce,,,3.99,Loblaws,,
2025-05-01,PCO Baby Carrots (454g),Produce,,,4,Loblaws,,
2025-05-01,Avocado Bag,Produce,,,2.99,Loblaws,,
2025-05-01,Red Seedless Grapes,Produce,,,2.17,Loblaws,,
2025-05-01,Japanese Sweet Yam,Produce,,,7.81,Loblaws,,
2025-05-01,Sliced Brioche Bread,Bakery,,,6.79,Loblaws,,
2025-05-01,HS Ankle Socks,Groceries,,,4,Loblaws,,
2025-05-01,HST (13%),Tax,,,0.52,Loblaws,,
2025-05-02,Coca-Cola,Snacks,,,1.5,No Frills,,
2025-05-02,Pally Biscuits,Snacks,,,6.54,No Frills,,
2025-05-02,Morning Glory MF,Bakery,,,6,No Frills,,
2025-05-02,HST (13%),Tax,,,1.05,No Frills,,
2025-05-02,Glad Waste,Groceries,,,7.97,Walmart,,
2025-05-02,WW Bread,Bakery,,,3.27,Walmart,,
2025-05-02,Hot Choc,Beverages,,,15.47,Walmart,,
2025-05-02,White Gran. Sugar,Groceries,,,2.97,Walmart,,
2025-05-02,Glad Waste (2nd),Groceries,,,7.97,Walmart,,
2025-05-02,JMS Vit D3,Medicine,,,6.67,Walmart,,
2025-05-02,LF Vanilla x2,Dairy,,,8.92,Walmart,,
2025-05-02,Discount,Discount,,,-0.92,Walmart,,
2025-05-02,HST (13%),Tax,,,2.94,Walmart,,
2025-05-02,Rewards,Discount,,,-5,Walmart,,
2025-05-04,FM Mandarins 2LB,Produce,,,3.99,Loblaws,,
2025-05-04,Grape Red Seedless,Produce,,,3.14,Loblaws,,
2025-05-04,RCLA STK or HERB,Medicine,,,1.92,Loblaws,,
2025-05-04,Robitussin Child Cold,Medicine,,,9.99,Loblaws,,
2025-05-04,Robitussin CH CLD BED,Medicine,,,9.99,Loblaws,,
2025-05-04,Reubl Shirt PC OP,Groceries,,,0.35,Loblaws,,
2025-05-04,PC Unscented Baby Wipes,Toiletries,,,2.79,Loblaws,,
2025-05-04,HST,Tax,,,3.26,Loblaws,,
2025-05-04,D.M.D Bridge Garlic Flavo,Nuts,,2.99,5.98,Ton Tai,,
2025-05-04,Purple Onion 10LB,Produce,,,15.99,Ton Tai,,
2025-05-04,White Potatoes,Produce,,,4.96,Ton Tai,,
2025-05-04,Fresh Chicken Quarter Le (4.04 lb),Meat,,,7.6,Ton Tai,,
2025-05-04,Fresh Chicken Quarter Le (3.16 lb),Meat,,,5.94,Ton Tai,,
2025-05-04,Fresh Chicken Drumstick (2.88 lb),Meat,,,5.7,Ton Tai,,
2025-05-04,Fresh Chicken Drumstick (2.65 lb),Meat,,,5.25,Ton Tai,,
2025-05-04,Fresh Chicken Drumstick (3.21 lb),Meat,,,6.36,Ton Tai,,
2025-05-04,Fresh Chicken Drumstick (3.12 lb),Meat,,,6.18,Ton Tai,,
2025-05-04,Fresh Chicken Drumstick (3.33 lb),Meat,,,6.59,Ton Tai,,
2025-05-04,Meat (unlabeled),Meat,,,13.69,Ton Tai,,
2025-05-04,Great Lake Mackerel,Fish,,,11.92,Ton Tai,,
2025-05-04,HST,Tax,,,0.78,Ton Tai,,
2025-05-04,"Equate Moisturizing Hand Soap - Aloe, 1.65L Refill",Toiletries,,,3.97,Walmart,,
2025-05-04,"Cashmere Toilet Paper, Hypoallergenic and Septic Safe, 30 rolls",Toiletries,,,15.97,Walmart,,
2025-05-04,"Dove Sensitive Skin Beauty Bar, 12x106g",Toiletries,,,17.97,Walmart,,
2025-05-04,"Dove Beauty Bar Gentle Skin Cleanser, 12x106g",Toiletries,,,17.97,Walmart,,
2025-05-04,HST,Tax,,,7.26,Walmart,,
2025-05-05,Peanut Butter,Groceries,,,6.5,Loblaws,,
2025-05-05,Ice Cream,Dairy,,,4,Loblaws,,
2025-05-05,Bread,Bakery,,,3.99,Loblaws,,
2025-05-06,Milk,Dairy,,,7.69,Food Basics,,
2025-05-06,Pasta,Groceries,,2,4.98,Food Basics,,
2025-05-06,Cedar Sardine,Groceries,,3,3.75,Food Basics,,
2025-05-06,Gold Seal Sardine,Groceries,,6,10.74,Food Basics,,
2025-05-08,Raisin Bran Cereal,Cereal,,,5.99,Food Basics,,
2025-05-08,Cheerios Honey Nut,Cereal,,,9.49,Food Basics,,
2025-05-08,Unico Tomato Paste,Groceries,,,1.49,Food Basics,,
2025-05-08,Unico Italian Herbs,Groceries,,,1.49,Food Basics,,
2025-05-08,Cuetara Maria Cookies,Snacks,,,4.19,Food Basics,,
2025-05-08,Premium Bananas,Produce,,,1.55,Food Basics,,
2025-05-08,Red Grapes,Produce,,,6.36,Food Basics,,
2025-05-08,Bagged Avocados,Produce,,,2.88,Food Basics,,
2025-05-08,Sweet Purple Potato,Produce,,,5.75,Food Basics,,
2025-05-08,Selection Large Eggs,Poultry,,,9.45,Food Basics,,
2025-05-08,Butter Croissant,Snacks,,,3.99,Food Basics,,
2025-05-08,Stone Mill 12 Sprout Bread,Bakery,,,4.99,Food Basics,,
2025-05-08,BBQ Halal Chicken,Hot Foods,,,9.97,Food Basics,,
2025-05-08,HST,Tax,,,1.3,Food Basics,,
2025-05-10,Pally Biscuits (2),Snacks,,,6.54,No Frills,,
2025-05-10,LBRT GRK VAN CHO,Dairy,,,6.5,No Frills,,
2025-05-10,NN Mixed Vegetables,Fruits & Vegetables,,,2.59,No Frills,,
2025-05-10,No Name Green Beans,Fruits & Vegetables,,,2.59,No Frills,,
2025-05-10,HST,Tax,,,0.85,No Frills,,
2025-05-10,Bread,Bakery,,,3.27,Walmart,,
2025-05-10,All-Purpose Flour,Bakery,,,5.97,Walmart,,
2025-05-10,Eggs (30),Poultry,,,9.18,Walmart,,
2025-05-10,Rewards,Discount,,,-5,Walmart,,
2025-05-11,"Airwick Essential Mist Refills, Lavender & Almond Blossom, 3 Refills, Essential Oil Diffuser, Air Freshener",Groceries,,,16.92,Amazon,,
2025-05-11,Ann,Groceries,,,34.73,Loblaws,,
2025-05-11,Bagged Avocados,Produce,,,2.88,Food Basics,,
2025-05-11,Clementines,Produce,,,9.62,Food Basics,,
2025-05-12,Trutaste Homo Milk,Dairy,,,7.68,Loblaws,,
2025-05-12,Chap Mrk Vanilla KB,Dairy,2,,10,Loblaws,,
2025-05-12,Mandarin 4LB,Produce,,,8.99,Loblaws,,
2025-05-12,Charity,Charity,,,0.33,Loblaws,,
2025-05-13,Cashew Short Bread,Hot Foods,,,4,Loblaws,,
2025-05-13,3 Pack Sub,Snacks,,,16,Loblaws,,
2025-05-13,HST,Tax,,,2.08,Loblaws,,
2025-05-13,Okra,Produce,,,4.54,Longos,,
2025-05-13,Spinach,Produce,,,2.99,Longos,,
2025-05-15,NEST DRINK MIX,Beverages,2,,9.98,Food Basics,,
2025-05-15,RAISBR.FAMILY SZ,Cereal,1,,5.99,Food Basics,,
2025-05-15,CEDAR SARDINE,Groceries,5,1.25,6.25,Food Basics,,
2025-05-15,GOLDSEAL SOYA OI,Groceries,4,1.49,5.96,Food Basics,,
2025-05-15,INDOMIE MI GOREN,Groceries,1,,3.49,Food Basics,,
2025-05-15,CLEMENTINES,Produce,,,3.98,Food Basics,,
2025-05-15,CARROT BABY CUT,Produce,,,3.48,Food Basics,,
2025-05-15,PARISH BANANA,Produce,,$1.30/kg,1.61,Food Basics,,
2025-05-15,RED GRAPES SEEDL,Produce,,$8.77/kg,6.01,Food Basics,,
2025-05-15,SWT PURPL.POTATO,Produce,,$3.90/kg,7.78,Food Basics,,
2025-05-15,IRRS.SL.BRIOCHE,Bakery,1,,4.49,Food Basics,,
2025-05-15,IRRS.MINI BUTTER,Bakery,,,5.49,Food Basics,,
2025-05-16,PAL GRI 828,Groceries,,,2.97,Walmart,,
2025-05-16,PAL GRI 828,Groceries,,,2.97,Walmart,,
2025-05-16,GV EVOO 1000,Cooking Oil,,,10.97,Walmart,,
2025-05-16,GV EVOO 1000,Cooking Oil,,,10.97,Walmart,,
2025-05-16,SERL BIMO MK,Dairy,,,7.25,Walmart,,
2025-05-16,WL BRERAS,Bakery,,,3.27,Walmart,,
2025-05-16,HST,Tax,,,4.54,Walmart,,
2025-05-16,21-GROCERY OASIS MANGO ICE MRJ,Juice,2,,7,No Frills,,
2025-05-16,L210000079004 PALLY BISCUITS MRJ,Snacks,,,6.54,No Frills,,
2025-05-16,27-PRODUCE FM AVOCADO BAG,Produce,,,4.99,No Frills,,
2025-05-16,HST,Tax,,,0.85,No Frills,,
2025-05-17,GG WHL CORN,Groceries,,,1.25,No Frills,,
2025-05-17,DACT YOG VAN,Dairy,,,4,No Frills,,
2025-05-17,SQ SHRIMP,Frozen Fish,,,11,No Frills,,
2025-05-17,Face Cream,Cosmetics,,,8.78,Walmart,,
2025-05-17,Body Lotion,Cosmetics,,,5.97,Loblaws,,
2025-05-17,Elaine Jeans,Groceries,,,14,Loblaws,,
2025-05-17,HST,Tax,,,0.7,Loblaws,,
2025-05-18,PC MLK CHOC DIG,Snacks,,,3.49,Loblaws,,
2025-05-18,BURN MED EGGS,Poultry,,,9.19,Loblaws,,
2025-05-18,TRUTASTE HOMO,Dairy,,,6.49,Loblaws,,
2025-05-18,PC L BAG DB HDL,Groceries,,,2.5,Loblaws,,
2025-05-18,HST,Tax,,,0.33,Loblaws,,
2025-05-18,Ann,Groceries,,,47.56,Loblaws,,
2025-05-18,FRANK PT 12-24,Groceries,,,21.99,Canadian Tire,,
2025-05-18,MK FLD STEP STO,Groceries,,,10.99,Canadian Tire,,
2025-05-18,HST,Tax,,,4.29,Canadian Tire,,
2025-05-18,Redeemed,Discount,,,-4.45,Canadian Tire,,
2025-05-20,Indomie Mi Goren,Groceries,,,3.49,Food Basics,,
2025-05-20,Premium Banana,Produce,,,1.48,Food Basics,,
2025-05-20,Green Cabbage,Fruits & Vegetables,,,3.05,Food Basics,,
2025-05-20,Swt Purpl.Potato,Produce,,,2.73,Food Basics,,
2025-05-20,Serv. Bakery,Bakery,,,4.99,Food Basics,,
2025-05-20,Hot Foods (BBQ Halal Chick.),Hot Foods,,,9.97,Food Basics,,
2025-05-20,HST,Tax,,,1.3,Food Basics,,
2025-05-21,(5)CEDAR SARDINE,Groceries,5,,6.25,Food Basics,,
2025-05-21,PEEKF.COOKIE,Snacks,2,,5,Food Basics,,
2025-05-21,IODIZ.TABLE SALT,Groceries,,,1.49,Food Basics,,
2025-05-21,CLEMENTINES,Produce,,,3.98,Food Basics,,
2025-05-21,SELECTION F.VEG.,Fruits & Vegetables,,,6.49,Food Basics,,
2025-05-22,LEMON COFFEE CK	,Bakery,,,7,Loblaws,,
2025-05-22,BRCHE HT DG BUNS	,Bakery,,,5.49,Loblaws,,
2025-05-22,WOND BREAD WHT	,Bakery,,,3.99,Loblaws,,
2025-05-23,DIGESTIVES CKIE MRJ,Snacks,2,,5.98,Loblaws,,
2025-05-23,TRUTASTE HOMO,Dairy,,,7.68,Loblaws,,
2025-05-23,CHKN FRIED 8PC,Hot Foods,,,16,Loblaws,,
2025-05-23,HST,Tax,,,2.08,Loblaws,,
